标题,标题1,作者,内容
第一版 要闻,有的要强 强的要优,,"
本报昆明讯 （通讯员 云祖轩）近日，云南省委印发《实施“基层党建创新提质年”总体方案》，并召开视频部署会，启动实施2019年“基层党建创新提质年”各项工作。这是云南在连续三年实施“基层党建推进年”“基层党建提升年”“基层党建巩固年”基础上，第4年以“主题年”形式统筹推进基层党建工作，旨在不断夯实党在边疆执政的组织基础。
“基层党建创新提质年”立足新形势新任务新情况，按照“统筹谋划、分类实施、无的要有、有的要强、强的要优”的思路，在提升组织力、强化政治功能，统筹布局各领域基层党建、推进重点任务落实、着力解决突出问题等方面提质创新，推动基层党建全面进步全面过硬。
加强政治建设创新提质。按照中央部署安排，高质量开展“不忘初心、牢记使命”主题教育。同时，把深入学习贯彻习近平新时代中国特色社会主义思想和党的十九大精神作为首要政治任务和长期工作主题，以“百名讲师上讲台、千堂党课下基层、万名党员进党校”为载体，运用“云岭先锋”夜校、微党课、故事党课等形式，教育引导党员干部读原著、学原文、悟原理，在学懂弄通做实上下功夫，在深化转化常态化上见实效。
加强支部规范化建设，在健全基层组织体系上创新提质。建立12类党支部规范化建设标准，探索构建党支部规范化建设的创建、考核、评选、奖励、惩处工作机制。深入开展“战斗堡垒工程”“先锋模范工程”，在乡镇（街道）全覆盖建立“青年人才党支部”，进一步建强基本组织、基本队伍。同时，围绕增强工作实效，规范开展支部主题党日，探索开展开放式主题党日、创意型组织生活；围绕实现常态长效，进一步落实“三会一课”、民主生活会等基本制度；围绕强化基本保障，进一步强化党建经费保障机制。
以提升组织力为重点，加强各领域基层党建创新提质。在农村，以“整县提升、整乡推进、百村示范、千组晋位”为抓手，加强农村基层党组织标准化规范化建设。在城市，深入开展城市基层党建示范引领行动，进一步做强街道、做优社区、做实系统、做活治理。在国企，落实党的领导与公司治理有机融合的制度安排，把企业党组织内嵌到公司治理结构中。在机关，加大机关党建“灯下黑”问题整治力度，大力弘扬“跨越发展、争创一流；比学赶超、奋勇争先”精神。在事业单位，建立和落实高校、公立医院、科研院所党组织领导下的校长（院长、所长）负责制。在两新组织，探索建立社会组织党建考核评价机制，全面开展各级两新组织党工委向同级党委和上级党工委“双向述职”。在边境地区，继续深化边疆党建长廊建设；在藏区，把藏区基层党组织建设成依法治藏、富民兴藏、长期建藏、凝聚人心、夯实基础的坚强战斗堡垒。
探索开展“智慧党建”，推动基层党建信息化创新提质。重点推进基础党务信息化、党员电子身份认证，开发运用发展党员信息管理系统、党员涉嫌违纪违法信息管理系统、党代表信息管理系统等。推动“互联网+党建”进机关、企业、学校、园区、两新组织和流动党员群体全覆盖，并融合“互联网+政务服务”、“一部手机办事通”、农村电商、普惠金融等资源，逐步实现全省“互联网+党建”“一张网”全覆盖。"
第一版 要闻,江苏常州出台组织工作助推民企发展15条措施,,"本报常州讯 （通讯员 常组轩）近日，江苏常州市围绕组织部门职责，明确组织工作助推民营企业发展的15条措施，为民营企业高质量发展添动力。
该市建立组织部门定期研究民营企业党建工作制度，规定每年至少召开2次民企党建工作联席会议。建立民营企业党组织重点联系制度，加强直接指导，“一企一策”协调解决难题。同时，加强民营企业党建阵地建设，统筹共建区域性、开放性、综合性党群服务中心，提供便利活动场所。并以“菜单指引”推进民营企业党组织开展活动，定期更新菜单内容，供民企党组织结合实际开展活动。该市还将民营企业家培训纳入党员干部教育培训规划，市级抓好示范培训、区级进行集中轮训，确保民营企业家和党务工作者每年至少接受1次培训。定期举办民营企业党员专场招聘会，建立党员职工招聘长效机制。此外，还搭建优质合作平台，支持民企与高校、科研院所等组建产业技术联盟，开展项目合作、协同创新。"
第一版 要闻,把人才工作抓深入抓具体抓扎实,,"本报沈阳讯 （通讯员 辽竹选）为牢固确立人才引领振兴发展的战略地位，近日，辽宁省委召开全省人才工作述职评议会。会上，14位市委书记及省人才工作领导小组成员单位党组（党委）围绕抓人才工作进行述职。在认真听取大家发言后，省委书记陈求发作了讲话，他指出，要深入学习贯彻习近平总书记关于人才工作的重要指示精神，下气力把人才工作抓深入、抓具体、抓扎实。
会议指出，全省各级党委、政府要进一步强化“抓人才就是抓发展、兴人才就是兴辽宁”理念，深入实施人才优先发展战略，为全面振兴、全方位振兴提供坚强的人才保障。要继续深化人才发展体制机制改革和政策创新，激发人才创新创业活力。深化人才工作领域“放管服”改革，破除制约人才发展的思想障碍、制度藩篱和政策壁垒，构筑具有吸引力、竞争力的人才制度优势。深化人才发展关键领域改革，深入抓好人才政策的统筹，充分发挥用人主体作用。
会议强调，要深入实施“兴辽英才计划”，努力造就一大批具有全球视野、引领产业科技发展的杰出人才、领军人才、青年拔尖人才和高水平创新创业团队。在人才引进方面，深入实施“双招双引”工程，强化效益意识和需求导向，提高引才精准性。在人才培养方面，用好重大创新创业平台，培养振兴发展急需的高层次管理人才和各类专业技术人才。要充分发挥人才引领振兴发展的作用。各地区各部门各单位要在搭建事业平台、优化干事创业软环境等方面下功夫，更多地用事业吸引人，用适当待遇留住人，让各类人才的聪明才智得到充分涌流。要精准对接，组建专家服务团、建立专家工作站，实现人才链、创新链与产业链的无缝对接。要搭建平台，支持人才干事创业。要完善制度，健全科研成果转化、知识产权归属、利益分配机制等，让人才既有“名”又有“利”。要做好团结、引领、服务工作，把进一步优化人才发展环境作为今年的一项重点工作，努力打造人才环境最优省。"
第一版 要闻,把旗帜鲜明讲政治贯穿组织工作全过程,,"本报天津讯 （通讯员 津组）2月15日，天津召开全市组织部长会议，市委常委、组织部长喻云林出席会议并讲话。
会议指出，要深入学习贯彻习近平总书记在视察天津和京津冀协同发展座谈会上的重要讲话精神，坚持组织路线服务政治路线、政治建设统领组织建设，把旗帜鲜明讲政治贯穿组织工作全过程和各方面，推动各级党组织和党员干部坚决做到“两个维护”，不折不扣贯彻落实习近平总书记重要指示精神和党中央决策部署，为全力推动天津高质量发展提供坚强组织保证。
会议强调，要高标准开展“不忘初心、牢记使命”主题教育，大力实施习近平新时代中国特色社会主义思想教育培训计划，持续推动大学习大教育大培训大普及。加强领导干部政治素质考察，突出增强斗争精神、斗争本领和防范化解风险能力，加大优秀年轻干部培养选拔力度，打造忠诚干净担当的高素质干部队伍。坚持严管厚爱结合，着力激励干部新时代新担当新作为。深入实施组织力提升工程三年行动计划，分领域统筹推进，推动基层党组织全面进步全面过硬。深入实施“海河英才”行动计划，在靶向精准引才育才、激发创新创造活力、加强政治引领政治吸纳上用心用力，坚决落实“天下才天津用”。坚持政治立部、作风兴部、能力强部、从严治部，打造“政治上绝对可靠、对党绝对忠诚”的组工干部队伍，以优异成绩庆祝新中国成立70周年。"
第一版 要闻,着力推动新时代组织工作高质量发展,,"本报银川讯 （通讯员 宁组宣）2月18日至19日，宁夏召开全区组织部长会议，研究部署2019年组织工作。自治区党委常委、组织部长盛荣华出席会议并讲话。
会议强调，要坚持以习近平新时代中国特色社会主义思想为指导，深入贯彻落实党中央和自治区党委决策部署，强化责任担当、锐意改革创新、狠抓工作落实，为决胜全面建成小康社会提供坚强组织保证。
会议要求，要深入学习贯彻习近平新时代中国特色社会主义思想，在学懂弄通做实上下功夫，扎实开展“不忘初心、牢记使命”主题教育，引导广大党员干部坚定信仰信念信心、凝聚团结奋进力量。突出政治把关和政治素质考察，大力强化干部教育培训，从严管理监督干部，有效激励干部担当作为，大力培养选拔优秀年轻干部，认真做好公务员管理工作，建设一支忠诚干净担当的高素质干部队伍。突出增强政治功能和组织力，扎实推进基层党组织建设，强化政治建设，推动“三大三强”行动和“两个带头人”工程等基层党建重要文件落地见效，推进党支部标准化规范化建设，加强党员教育管理，推动各领域基层党组织全面进步、全面过硬。突出人才引领发展战略地位，广泛集聚爱国奉献的各方面优秀人才，以落实自治区人才新政“18条”为统揽，切实抓好中央和自治区出台的各项人才政策宣传、督查、落实，不断完善相关政策，充分释放人才政策红利，深入实施各类人才培养工程，加强政治引领政治吸纳，为推动创新驱动战略提供强有力的人才支撑。突出政治上绝对可靠、对党绝对忠诚，持续建设模范部门和过硬队伍，切实推动全区组织工作高质量发展。"
第一版 要闻,上海：做浸润心灵的党性教育,,"本报上海讯 （通讯员 沪组）近年来，青年白领已成为上海就业群体的主力军，为此，上海积极探索青年白领党员党性教育有效路径，引领带动他们投身中国特色社会主义伟大事业。
突出政治引领，做主题鲜明的党性教育。大力加强青年白领党员集中的两新组织党建工作，充分发挥党支部战斗堡垒作用，通过多种形式深入开展习近平新时代中国特色社会主义思想和党的十九大精神学习宣传，扎实推进“两学一做”学习教育常态化制度化，探索形成一批主题鲜明、思想内涵丰富的党性教育活动品牌。比如，以纪念马克思诞辰200周年为契机，推出“给90后讲讲马克思”音频党课，安排8位熟悉“90后”话语体系的市委党校青年骨干教师作为主创，制作专题课程，为青年白领党员全方位呈现马克思人物形象。音频党课在全国12个省区市的广播电台同步播出，首讲在线收听超过50万人次。
注重方法创新，做浸润心灵的党性教育。推出“我的电影党课”主题品牌活动，采用观看电影与党课教育有机结合的方式，精选兼具思想性、艺术性的优秀国产影片，让青年白领党员在观影中接受党性教育。其中，电影《我是医生》讲述了中科院院士吴孟超丹心报国的先进事迹，放映前，95岁高龄的吴院士为观影的青年白领党员做了主题报告。大家纷纷表示：“过去看电影是为了娱乐，没想到还可以受教育，这样的党课我们喜欢。”
推进线上线下联动，做参与互动的党性教育。在开展青年白领党员党性教育时，引入“互联网+”理念，打破限时、限地、限人的束缚，做到全媒体全过程推送、线上线下联动、课内课外互动。既让来到现场“面对面”的党员受到教育，也让线上“键对键”的党员参与其中；既聚焦青年白领党员群体这个“少数”，也对他们身边的“多数”产生引领。"
第一版 要闻,梗阻全打通 群众笑开颜,,"本报旬阳讯 （通讯员 屈先奇 张兆群）去年7月以来，陕西旬阳县人社局加强纪律整顿，大力开展系统行风建设，解群众之所困，让群众满意笑开颜。
建章立制、规范管理。该县人社局重新制定服务承诺制度等18项规章制度，涵盖学习、管理、服务、作风建设等多个方面。制定18项窗口服务规范和22条工作人员纪律，明确了30条接待窗口用语和10条电话文明用语。积极推行“五制”“四公开”制度和服务抽查回访制度，规范服务，做到服务受理“不推诿”、办理“不积压”、结果“不出错”。
根据涉及的养老、就业、社保、维权等职能，县人社局分口走访企业、社区、农户等，了解企业和群众办事的“痛点”“堵点”。抓好“放管服”改革和推进审批事项便民化服务，取消下放行政审批事项6类45项。坚决砍掉各类无谓证明，做到“四个一律取消”，即没有法律依据的证明材料和盖章环节，一律取消；单位内部流程、内部印证的材料一律取消；部门间重复收取材料只收取一次，其他的一律取消；对与事项没有直接关系或者不存在逻辑上因果关系的申报材料一律取消。
为及时掌握行风建设情况，该局设立政务督察室，对上级及局党组布置的重要工作进行全过程监督，发现问题及时纠正。"
第一版 要闻,图片报道,,"
近年来，贵州榕江县开辟脱贫致富新路径，以“党建+产业”方式引导群众种植绿色无公害蔬菜，带动贫困群众在家门口就业增收。图为贫困户在种植基地工作。 刘进银 摄"
第二版 组织工作,实绩考核引入第三方,,"本报大连讯 （通讯员 李洪满）在2018年度工作实绩考核中，辽宁大连市对市直党群部门开展“创新工作”实绩考核，并引入第三方评审，选聘专家对创新创优工作进行评估，以更加精准科学、更加客观公正的考核激发创新活力、撬动创新动能。
该市制定《2018年度市直党群部门单位“创新工作”专家评审实施细则》，坚持不戴帽子、不设框子、统一标准，一个起跑线比高低。采取单位推荐和组织提名相结合的方式，兼顾专业性和代表性，从驻连高校院所、机关企事业单位、社会团体及街道社区，选取教授学者、行业业务骨干、基层及服务对象代表60人，建立党群部门类考核专家库。每次考核前，现场抽签产生参加专家。
评审工作分为项目选题申报、初审筛选、现场答辩评审等程序，由考核组专家分两轮对各部门创新创优项目进行综合打分，最终确定申报项目成绩。
在1月18日的现场评审会上，进入第二轮评审的17个项目所在单位，分别围绕入围项目的工作过程、工作成效、取得经验、社会反响等进行了陈述展示，来自各领域的10位考核专家现场提问、独立打分，评出了一、二、三等奖。为最大限度确保考核的公平性，本次评审专门邀请市纪委监委监督员进行现场督导，对答辩现场进行全程跟踪录像纪实，场内现场统计得分，场外电子屏幕即时发布评审结果。"
第二版 组织工作,回应所需所盼 换你安心安业,,"
本报杭州讯 （通讯员 杭组）去年以来，杭州市根据新时代高素质干部队伍建设需要，紧贴干部所需所盼，聚焦要事实事，施行“关爱干部12条”，帮助干部解决后顾之忧，引导干部在基层一线安心、安身、安业。
“关爱干部12条”主要内容有：强化鲜明用人导向、深化履职安全教育、加强出行安全管理、完善安全防范措施、优化安全工作环境、健全应急处置机制、加大心理服务力度、健全健康干预机制、落实休假疗养制度、丰富文化体育活动、常态干部谈话慰问、营造宽严相济氛围。
该市探索建立重点项目一线干部专项考核制度，紧扣“最多跑一次”改革、城中村改造、城乡基础设施建设等重点项目，科学设置考核指标，加强督查督办力度，通过走访项目现场、旁听工作例会等方式，深入基层一线调研了解、考察考核，在乡语口碑中评价识别干部，及时发现、重点关注扑在一线、表现突出的干部。全面落实“三个区分开来”要求，健全容错纠错机制，旗帜鲜明为敢于担当、踏实做事、不谋私利的干部撑腰鼓劲，保证一线优秀干部心无旁骛、担当作为。
为保证干部履职安全和身心健康，杭州着力优化安全防范管理和应急处置机制，完善心理服务和健康干预机制。推出干部履职安全教育、出行安全管理、安全防范联动及应急处置机制。常态化开展交通、消防、应急等方面的安全知识培训，特别重视加强对风险系数较高岗位干部履职业务技能的培训，采取案例授课、现身说法、实战演练等形式，增强干部应对急难险重问题的实战能力和自防自救能力。推行系统性的心理服务，把干部心理健康教育纳入干部教育培训计划，探索建立干部心理健康保障体系和心理危机干预体系，目前已组建心理健康促进工作专家团队8个、讲师团15支。依托第三方专业机构，加强各级干部身心健康状况研判和干预，重点掌握长期在艰苦地区、承担急难险重工作的干部健康状况，分级创建干部健康档案。
实践中，关爱举措往往落实难。针对这一问题，杭州完善责任落实和领导示范机制，保证制度落实落细。明确各地各单位主要领导为关心关爱干部第一责任人，各地各单位明确分管领导专门负责，建立健全关心关爱干部制度。落实全覆盖式干部谈心谈话、“向组织说说心里话”、干部休假疗养等制度，严格要求领导带头示范。对连续加班的干部，安排强制性补休。组织、发改、财政、卫计、人社、审计等部门密切配合，抓好干部关心关爱工作业务指导。
“关爱干部12条”施行以来，各地各单位结合实际，研究提出许多务实管用的具体举措。例如，建德市把乡镇街道“五小”工程（食堂、宿舍、浴室、厕所、文体图书室）作为一把手工程，落实小项目89个，让乡镇干部吃得好饭、睡得好觉、洗得好澡、安得下心。"
